1362692526.939527/1559833828.494020 [dpd] PIA_TCP[2] DeliverStream(136, T) [GET /download/CHANGES.bro-aux.txt HTTP/1...]
1362692526.939527/1559833828.494028 [rules] Matching Payload rules [0,0] on |GET /download/CHANGES.bro-aux.txt HTTP/1...|
1362692526.939527/1559833828.494244 [rules] New pattern match found
1362692526.939527/1559833828.494255 [rules] Checking rule: dpd_http_client
1362692526.939527/1559833828.494260 [rules] All patterns of rule satisfied
1362692526.939527/1559833828.494264 [rules] Accepted rule: dpd_http_client
1362692526.939527/1559833828.494268 [rules] Checking for accepted rule on HdrTest 1
1362692526.939527/1559833828.494272 [rules] Checking for accepted rule on HdrTest 44
1362692526.939527/1559833828.494285 [rules] On current node
1362692526.939527/1559833828.494289 [rules] And has not already fired
1362692526.939527/1559833828.494293 [rules] Evaluating conditions for rule dpd_http_client
1362692526.939527/1559833828.494298 [rules] Conditions met: MATCH! dpd_http_client
1362692526.939527/1559833828.494309 [dpd] CONNSIZE[6] DeliverPacket(136, T, 1, 0x7ffc06367620, 136) [GET /download/CHANGES.bro-aux.txt HTTP/1...]
1362692526.939527/1559833828.494336 [main-loop] realtime=1559833828.494336 iosrc=PktSrc ts=1362692527.008509
1362692527.008509/1559833828.494357 [dpd] TCP[1] DeliverPacket(32, T, 18446744073709551615, 0x7ffc06367620, 32) [\x00P\xe9\xd0\xa5\xaf\xce?\xfe!2\xc3\x80\x10\x00z\x94\x1e\x00\x00\x01\x01\x08\x0a/\x89B\x9f\x16J\xddf]
1362692527.008509/1559833828.494366 [dpd] CONNSIZE[6] DeliverPacket(0, F, 1, 0x7ffc06367620, 0) []
1362692527.008509/1559833828.494375 [main-loop] realtime=1559833828.494375 iosrc=PktSrc ts=1362692527.009512
1362692527.009512/1559833828.494390 [dpd] TCP[1] DeliverPacket(1480, T, 18446744073709551615, 0x7ffc06367620, 1480) [\x00P\xe9\xd0\xa5\xaf\xce?\xfe!2\xc3\x80\x10\x00z\xed\x8b\x00\x00\x01\x01\x08\x0a/\x89B\x9f\x16J\xddfHTTP/1.1...]
1362692527.009512/1559833828.494400 [dpd] CONTENTLINE[5] DeliverStream(1448, F) [HTTP/1.1 200 OK\x0d\x0aDate: Thu, 07 Mar 2013 ...]
1362692527.009512/1559833828.494406 [dpd] HTTP[3] DeliverStream(15, F) [HTTP/1.1 200 OK]
1362692527.009512/1559833828.494420 [dpd] HTTP[3] DeliverStream(35, F) [Date: Thu, 07 Mar 2013 21:43:07 GMT]
1362692527.009512/1559833828.494427 [dpd] HTTP[3] DeliverStream(29, F) [Server: Apache/2.4.3 (Fedora)]
1362692527.009512/1559833828.494432 [rules] Matching HTTP-REPLY-HEADER rules [1,0] on |Date|
1362692527.009512/1559833828.494436 [rules] Matching HTTP-REPLY-HEADER rules [0,0] on |: |
1362692527.009512/1559833828.494440 [rules] Matching HTTP-REPLY-HEADER rules [0,1] on |Thu, 07 Mar 2013 21:43:07 GMT|
1362692527.009512/1559833828.494449 [dpd] HTTP[3] DeliverStream(44, F) [Last-Modified: Wed, 29 Aug 2012 23:49:27...]
1362692527.009512/1559833828.494454 [rules] Matching HTTP-REPLY-HEADER rules [1,0] on |Server|
1362692527.009512/1559833828.494458 [rules] Matching HTTP-REPLY-HEADER rules [0,0] on |: |
1362692527.009512/1559833828.494462 [rules] Matching HTTP-REPLY-HEADER rules [0,1] on |Apache/2.4.3 (Fedora)|
1362692527.009512/1559833828.494470 [dpd] HTTP[3] DeliverStream(26, F) [ETag: "1261-4c870358a6fc0"]
1362692527.009512/1559833828.494476 [rules] Matching HTTP-REPLY-HEADER rules [1,0] on |Last-Modified|
1362692527.009512/1559833828.494479 [rules] Matching HTTP-REPLY-HEADER rules [0,0] on |: |
1362692527.009512/1559833828.494483 [rules] Matching HTTP-REPLY-HEADER rules [0,1] on |Wed, 29 Aug 2012 23:49:27 GMT|
1362692527.009512/1559833828.494491 [dpd] HTTP[3] DeliverStream(20, F) [Accept-Ranges: bytes]
1362692527.009512/1559833828.494497 [rules] Matching HTTP-REPLY-HEADER rules [1,0] on |ETag|
1362692527.009512/1559833828.494500 [rules] Matching HTTP-REPLY-HEADER rules [0,0] on |: |
1362692527.009512/1559833828.494504 [rules] Matching HTTP-REPLY-HEADER rules [0,1] on |"1261-4c870358a6fc0"|
1362692527.009512/1559833828.494512 [dpd] HTTP[3] DeliverStream(20, F) [Content-Length: 4705]
1362692527.009512/1559833828.494517 [rules] Matching HTTP-REPLY-HEADER rules [1,0] on |Accept-Ranges|
1362692527.009512/1559833828.494521 [rules] Matching HTTP-REPLY-HEADER rules [0,0] on |: |
1362692527.009512/1559833828.494525 [rules] Matching HTTP-REPLY-HEADER rules [0,1] on |bytes|
1362692527.009512/1559833828.494533 [dpd] HTTP[3] DeliverStream(30, F) [Keep-Alive: timeout=5, max=100]
1362692527.009512/1559833828.494538 [rules] Matching HTTP-REPLY-HEADER rules [1,0] on |Content-Length|
1362692527.009512/1559833828.494542 [rules] Matching HTTP-REPLY-HEADER rules [0,0] on |: |
1362692527.009512/1559833828.494546 [rules] Matching HTTP-REPLY-HEADER rules [0,1] on |4705|
1362692527.009512/1559833828.494553 [dpd] HTTP[3] DeliverStream(22, F) [Connection: Keep-Alive]
1362692527.009512/1559833828.494559 [rules] Matching HTTP-REPLY-HEADER rules [1,0] on |Keep-Alive|
1362692527.009512/1559833828.494567 [rules] Matching HTTP-REPLY-HEADER rules [0,0] on |: |
1362692527.009512/1559833828.494570 [rules] Matching HTTP-REPLY-HEADER rules [0,1] on |timeout=5, max=100|
1362692527.009512/1559833828.494579 [dpd] HTTP[3] DeliverStream(39, F) [Content-Type: text/plain; charset=UTF-8]
1362692527.009512/1559833828.494584 [rules] Matching HTTP-REPLY-HEADER rules [1,0] on |Connection|
1362692527.009512/1559833828.494588 [rules] Matching HTTP-REPLY-HEADER rules [0,0] on |: |
1362692527.009512/1559833828.494592 [rules] Matching HTTP-REPLY-HEADER rules [0,1] on |Keep-Alive|
1362692527.009512/1559833828.494599 [dpd] HTTP[3] DeliverStream(0, F) []
1362692527.009512/1559833828.494605 [rules] Matching HTTP-REPLY-HEADER rules [1,0] on |Content-Type|
1362692527.009512/1559833828.494609 [rules] Matching HTTP-REPLY-HEADER rules [0,0] on |: |
1362692527.009512/1559833828.494613 [rules] Matching HTTP-REPLY-HEADER rules [0,1] on |text/plain; charset=UTF-8|
1362692527.009512/1559833828.494621 [dpd] HTTP[3] DeliverStream(1146, F) [\x0a0.26 | 2012-08-24 15:10:04 -0700\x0a\x0a  * F...]
1362692527.009512/1559833828.494841 [rules] Matching HTTP-REPLY-BODY rules [1,0] on |\x0a0.26 | 2012-08-24 15:10:04 -0700\x0a\x0a  * F...|
1362692527.009512/1559833828.494852 [dpd] PIA_TCP[2] DeliverStream(1448, F) [HTTP/1.1 200 OK\x0d\x0aDate: Thu, 07 Mar 2013 ...]
1362692527.009512/1559833828.494857 [rules] Matching Payload rules [0,0] on |HTTP/1.1 200 OK\x0d\x0aDate: Thu, 07 Mar 2013 ...|
1362692527.009512/1559833828.495126 [rules] New pattern match found
1362692527.009512/1559833828.495134 [rules] Checking rule: dpd_http_server
1362692527.009512/1559833828.495138 [rules] All patterns of rule satisfied
1362692527.009512/1559833828.495142 [rules] Accepted rule: dpd_http_server
1362692527.009512/1559833828.495146 [rules] Checking for accepted rule on HdrTest 1
1362692527.009512/1559833828.495149 [rules] Checking for accepted rule on HdrTest 44
1362692527.009512/1559833828.495153 [rules] On current node
1362692527.009512/1559833828.495157 [rules] And has not already fired
1362692527.009512/1559833828.495160 [rules] Evaluating conditions for rule dpd_http_server
1362692527.009512/1559833828.495165 [rules] Conditions met: MATCH! dpd_http_server
1362692527.009512/1559833828.495173 [dpd] CONNSIZE[6] DeliverPacket(1448, F, 1, 0x7ffc06367620, 1448) [HTTP/1.1 200 OK\x0d\x0aDate: Thu, 07 Mar 2013 ...]
